customer_id,custom_segment
CUST-00093,Loyal
CUST-00094,Dormant
CUST-00095,At Risk
CUST-00096,New Joiner
CUST-00097,VIP
CUST-00098,Dormant
CUST-00099,Dormant
CUST-00100,Loyal
CUST-00101,New Joiner
CUST-00102,Loyal
CUST-00103,Loyal
CUST-00104,At Risk
CUST-00105,Loyal
CUST-00106,Dormant
CUST-00107,Loyal
CUST-00108,Loyal
CUST-00109,Loyal
CUST-00110,At Risk
CUST-00111,At Risk
CUST-00112,Dormant
CUST-00113,Dormant
CUST-00114,New Joiner
CUST-00115,New Joiner
CUST-00116,Loyal
CUST-00117,At Risk
CUST-00118,Dormant
CUST-00119,New Joiner
CUST-00120,VIP
CUST-00121,Loyal
CUST-00122,Dormant
CUST-00123,VIP
CUST-00124,Loyal
CUST-00125,Loyal
CUST-00126,VIP
CUST-00127,Loyal
CUST-00128,At Risk
CUST-00129,At Risk
CUST-00130,VIP
CUST-00131,Dormant
CUST-00132,Loyal
CUST-00133,Loyal
CUST-00134,Loyal
CUST-00135,Loyal
CUST-00136,Dormant
CUST-00137,Dormant
CUST-00138,VIP
CUST-00139,VIP
CUST-00140,Dormant
CUST-00141,Dormant
CUST-00142,Loyal
CUST-00143,Dormant
CUST-00144,Dormant
CUST-00145,Loyal
CUST-00146,At Risk
CUST-00147,New Joiner
CUST-00148,New Joiner
CUST-00149,Loyal
CUST-00150,Loyal
CUST-00151,Loyal
CUST-00152,VIP
CUST-00153,Loyal
CUST-00154,Dormant
CUST-00155,Dormant
CUST-00156,Dormant
CUST-00157,Loyal
CUST-00158,Dormant
CUST-00159,Loyal
CUST-00160,Loyal
CUST-00161,At Risk
CUST-00162,At Risk
CUST-00163,New Joiner
CUST-00164,Loyal
CUST-00165,At Risk
CUST-00166,Loyal
CUST-00167,Dormant
CUST-00168,At Risk
CUST-00169,Loyal
CUST-00170,Dormant
CUST-00171,At Risk
CUST-00172,At Risk
CUST-00173,Dormant
CUST-00174,Dormant
CUST-00175,Loyal
CUST-00176,Loyal
CUST-00177,VIP
CUST-00178,Loyal
CUST-00179,Dormant
CUST-00180,New Joiner
CUST-00181,At Risk
CUST-00182,At Risk
CUST-00183,At Risk
CUST-00184,Loyal
CUST-00185,Dormant
CUST-00186,Dormant
CUST-00187,Dormant
CUST-00188,Loyal
CUST-00189,Loyal
CUST-00190,At Risk
CUST-00191,New Joiner
CUST-00192,Dormant
CUST-00193,Dormant
CUST-00194,New Joiner
CUST-00195,Loyal
CUST-00196,Loyal
CUST-00197,At Risk
CUST-00198,Dormant
CUST-00199,Loyal
CUST-00200,Dormant
CUST-00201,New Joiner
CUST-00202,Loyal
CUST-00203,Loyal
CUST-00204,Loyal
CUST-00205,Dormant
CUST-00206,New Joiner
CUST-00207,VIP
CUST-00208,At Risk
CUST-00209,Dormant
CUST-00210,Dormant
CUST-00211,Dormant
CUST-00212,Dormant
CUST-00213,Dormant
CUST-00214,At Risk
CUST-00215,Dormant
CUST-00216,Dormant
CUST-00217,Loyal
CUST-00218,At Risk
CUST-00219,Loyal
CUST-00220,New Joiner
CUST-00221,At Risk
CUST-00222,New Joiner
CUST-00223,Loyal
CUST-00224,Dormant
CUST-00225,Loyal
CUST-00226,At Risk
CUST-00227,New Joiner
CUST-00228,Loyal
CUST-00229,At Risk
CUST-00230,Dormant
CUST-00231,At Risk
CUST-00232,Loyal
CUST-00233,Dormant
CUST-00234,VIP
CUST-00235,VIP
CUST-00236,Loyal
CUST-00237,Loyal
CUST-00238,Loyal
CUST-00239,Loyal
CUST-00240,Loyal
CUST-00241,Dormant
CUST-00242,At Risk
CUST-00243,Loyal
CUST-00244,At Risk
CUST-00245,Dormant
CUST-00246,New Joiner
CUST-00247,Dormant
CUST-00248,Loyal
CUST-00249,Dormant
CUST-00250,Loyal
CUST-00251,Loyal
CUST-00252,Dormant
CUST-00253,At Risk
CUST-00254,New Joiner
CUST-00255,Loyal
CUST-00256,Dormant
CUST-00257,VIP
CUST-00258,At Risk
CUST-00259,Dormant
CUST-00260,Loyal
CUST-00261,Dormant
CUST-00262,Dormant
CUST-00263,Dormant
CUST-00264,VIP
CUST-00265,Loyal
CUST-00266,At Risk
CUST-00267,VIP
CUST-00268,Dormant
CUST-00269,At Risk
CUST-00270,New Joiner
CUST-00271,New Joiner
CUST-00272,Dormant
CUST-00273,Loyal
CUST-00274,Dormant
CUST-00275,Dormant
CUST-00276,VIP
CUST-00277,Loyal
CUST-00278,New Joiner
CUST-00279,VIP
CUST-00280,New Joiner
CUST-00281,At Risk
CUST-00282,Loyal
CUST-00283,Loyal
CUST-00284,Loyal
CUST-00285,New Joiner
CUST-00286,New Joiner
CUST-00287,New Joiner
CUST-00288,Loyal
CUST-00289,New Joiner
CUST-00290,VIP
CUST-00291,Loyal
CUST-00292,Dormant
CUST-00293,Loyal
CUST-00294,Dormant
CUST-00295,Loyal
CUST-00296,VIP
CUST-00297,At Risk
CUST-00298,Loyal
CUST-00299,Loyal
CUST-00300,Loyal
CUST-00301,New Joiner
CUST-00302,Loyal
CUST-00303,Dormant
CUST-00304,Loyal
CUST-00305,New Joiner
CUST-00306,Loyal
CUST-00307,New Joiner
CUST-00308,New Joiner
CUST-00309,Dormant
CUST-00310,Loyal
CUST-00311,New Joiner
CUST-00312,At Risk
CUST-00313,At Risk
CUST-00314,Loyal
CUST-00315,Dormant
CUST-00316,At Risk
CUST-00317,At Risk
CUST-00318,New Joiner
CUST-00319,At Risk
CUST-00320,New Joiner
CUST-00321,Dormant
CUST-00322,New Joiner
CUST-00323,Loyal
CUST-00324,Loyal
CUST-00325,At Risk
CUST-00326,Dormant
CUST-00327,New Joiner
CUST-00328,Loyal
CUST-00329,At Risk
CUST-00330,Dormant
CUST-00331,At Risk
CUST-00332,Dormant
CUST-00333,At Risk
CUST-00334,Dormant
CUST-00335,VIP
CUST-00336,At Risk
CUST-00337,At Risk
CUST-00338,Loyal
CUST-00339,At Risk
CUST-00340,At Risk
CUST-00341,VIP
CUST-00342,Dormant
CUST-00343,At Risk
CUST-00344,Loyal
CUST-00345,At Risk
CUST-00346,New Joiner
CUST-00347,At Risk
CUST-00348,VIP
CUST-00349,Loyal
CUST-00350,Dormant
CUST-00351,At Risk
CUST-00352,Dormant
CUST-00353,Dormant
CUST-00354,At Risk
CUST-00355,Loyal
CUST-00356,Dormant
CUST-00357,Dormant
CUST-00358,New Joiner
CUST-00359,New Joiner
CUST-00360,Dormant
CUST-00361,At Risk
CUST-00362,Loyal
CUST-00363,VIP
CUST-00364,Loyal
CUST-00365,Dormant
CUST-00366,New Joiner
CUST-00367,Dormant
CUST-00368,At Risk
CUST-00369,Loyal
CUST-00370,Loyal
CUST-00371,Loyal
CUST-00372,Loyal
CUST-00373,Loyal
CUST-00374,VIP
CUST-00375,New Joiner
CUST-00376,VIP
CUST-00377,Loyal
CUST-00378,Dormant
CUST-00379,Dormant
CUST-00380,Dormant
CUST-00381,Loyal
CUST-00382,At Risk
CUST-00383,Loyal
CUST-00384,Dormant
CUST-00385,Loyal
CUST-00386,At Risk
CUST-00387,VIP
CUST-00388,VIP
CUST-00389,New Joiner
CUST-00390,VIP
CUST-00391,At Risk
CUST-00392,Dormant
CUST-00393,At Risk
CUST-00394,New Joiner
CUST-00395,Dormant
CUST-00396,New Joiner
CUST-00397,Dormant
CUST-00398,Loyal
CUST-00399,At Risk
CUST-00400,Dormant
CUST-00401,Dormant
CUST-00402,Dormant
CUST-00403,Dormant
CUST-00404,Dormant
CUST-00405,New Joiner
CUST-00406,VIP
CUST-00407,Dormant
CUST-00408,Dormant
CUST-00409,Dormant
CUST-00410,Loyal
CUST-00411,New Joiner
CUST-00412,Dormant
CUST-00413,Dormant
CUST-00414,Dormant
CUST-00415,At Risk
CUST-00416,Dormant
CUST-00417,Loyal
CUST-00418,Loyal
CUST-00419,Dormant
CUST-00420,Loyal
CUST-00421,At Risk
CUST-00422,Dormant
CUST-00423,Dormant
CUST-00424,VIP
CUST-00425,Dormant
CUST-00426,Loyal
CUST-00427,Dormant
CUST-00428,Loyal
CUST-00429,Loyal
CUST-00430,Dormant
CUST-00431,Loyal
CUST-00432,Dormant
CUST-00433,At Risk
CUST-00434,Dormant
CUST-00435,VIP
CUST-00436,At Risk
CUST-00437,New Joiner
CUST-00438,Loyal
CUST-00439,Loyal
CUST-00440,Loyal
CUST-00441,New Joiner
CUST-00442,Loyal
CUST-00443,Loyal
CUST-00444,At Risk
CUST-00445,Loyal
CUST-00446,At Risk
CUST-00447,Dormant
CUST-00448,New Joiner
CUST-00449,Loyal
CUST-00450,Dormant
CUST-00451,At Risk
CUST-00452,New Joiner
CUST-00453,At Risk
CUST-00454,VIP
CUST-00455,Loyal
CUST-00456,Dormant
CUST-00457,Dormant
CUST-00458,Dormant
CUST-00459,Dormant
CUST-00460,Loyal
CUST-00461,Loyal
CUST-00462,At Risk
CUST-00463,Dormant
CUST-00464,Dormant
CUST-00465,VIP
CUST-00466,Dormant
CUST-00467,At Risk
CUST-00468,Dormant
CUST-00469,Dormant
CUST-00470,Dormant
CUST-00471,Loyal
CUST-00472,Dormant
CUST-00473,Loyal
CUST-00474,New Joiner
CUST-00475,New Joiner
CUST-00476,At Risk
CUST-00477,Dormant
CUST-00478,At Risk
CUST-00479,New Joiner
CUST-00480,Loyal
CUST-00481,Loyal
CUST-00482,Loyal
CUST-00483,Loyal
CUST-00484,Loyal
CUST-00485,At Risk
CUST-00486,At Risk
CUST-00487,Loyal
CUST-00488,At Risk
CUST-00489,New Joiner
CUST-00490,Loyal
CUST-00491,New Joiner
CUST-00492,Dormant
CUST-00493,Loyal
CUST-00494,Dormant
CUST-00495,Dormant
CUST-00496,Loyal
CUST-00497,Loyal
CUST-00498,Loyal
CUST-00499,At Risk
CUST-00500,At Risk
CUST-00501,Loyal
CUST-00502,Loyal
CUST-00503,Dormant
CUST-00504,Loyal
CUST-00505,New Joiner
CUST-00506,New Joiner
CUST-00507,At Risk
CUST-00508,Dormant
CUST-00509,At Risk
CUST-00510,Dormant
CUST-00511,Loyal
CUST-00512,At Risk
CUST-00513,Loyal
CUST-00514,New Joiner
CUST-00515,Dormant
CUST-00516,VIP
CUST-00517,Loyal
CUST-00518,New Joiner
CUST-00519,Loyal
CUST-00520,At Risk
CUST-00521,At Risk
CUST-00522,Dormant
CUST-00523,Loyal
CUST-00524,New Joiner
CUST-00525,Loyal
CUST-00526,At Risk
CUST-00527,At Risk
CUST-00528,Loyal
CUST-00529,New Joiner
CUST-00530,Loyal
CUST-00531,Loyal
CUST-00532,At Risk
CUST-00533,VIP
CUST-00534,Loyal
CUST-00535,Loyal
CUST-00536,Loyal
CUST-00537,Loyal
CUST-00538,New Joiner
CUST-00539,Loyal
CUST-00540,Dormant
CUST-00541,VIP
CUST-00542,At Risk
CUST-00543,VIP
CUST-00544,Dormant
CUST-00545,VIP
CUST-00546,Loyal
CUST-00547,At Risk
CUST-00548,New Joiner
CUST-00549,Dormant
CUST-00550,Dormant
CUST-00551,VIP
CUST-00552,At Risk
CUST-00553,Dormant
CUST-00554,Dormant
CUST-00555,VIP
CUST-00556,Loyal
CUST-00557,Dormant
CUST-00558,Loyal
CUST-00559,Loyal
CUST-00560,Loyal
CUST-00561,VIP
CUST-00562,Loyal
CUST-00563,Loyal
CUST-00564,Loyal
CUST-00565,New Joiner
CUST-00566,New Joiner
CUST-00567,At Risk
CUST-00568,VIP
CUST-00569,At Risk
CUST-00570,New Joiner
CUST-00571,Dormant
CUST-00572,At Risk
CUST-00573,Loyal
CUST-00574,At Risk
CUST-00575,At Risk
CUST-00576,VIP
CUST-00577,Dormant
CUST-00578,Loyal
CUST-00579,At Risk
CUST-00580,Loyal
CUST-00581,Dormant
CUST-00582,Dormant
CUST-00583,At Risk
CUST-00584,Dormant
CUST-00585,Loyal
CUST-00586,New Joiner
CUST-00587,At Risk
CUST-00588,Loyal
CUST-00589,VIP
CUST-00590,VIP
CUST-00591,Loyal
CUST-00592,Dormant
CUST-00593,New Joiner
CUST-00594,VIP
CUST-00595,Dormant
CUST-00596,Dormant
CUST-00597,Loyal
CUST-00598,Dormant
CUST-00599,Loyal
CUST-00600,At Risk
CUST-00601,New Joiner
CUST-00602,At Risk
CUST-00603,Loyal
CUST-00604,Loyal
CUST-00605,Dormant
CUST-00606,At Risk
CUST-00607,Loyal
CUST-00608,At Risk
CUST-00609,Loyal
CUST-00610,VIP
CUST-00611,Loyal
CUST-00612,New Joiner
CUST-00613,New Joiner
CUST-00614,VIP
CUST-00615,Loyal
CUST-00616,Loyal
CUST-00617,New Joiner
CUST-00618,At Risk
CUST-00619,Dormant
CUST-00620,VIP
CUST-00621,VIP
CUST-00622,Loyal
CUST-00623,VIP
CUST-00624,At Risk
CUST-00625,At Risk
CUST-00626,Dormant
CUST-00627,Dormant
CUST-00628,Loyal
CUST-00629,New Joiner
CUST-00630,New Joiner
CUST-00631,Dormant
CUST-00632,VIP
CUST-00633,VIP
CUST-00634,Loyal
CUST-00635,Loyal
CUST-00636,At Risk
CUST-00637,New Joiner
CUST-00638,Loyal
CUST-00639,Dormant
CUST-00640,Dormant
CUST-00641,At Risk
CUST-00642,Loyal
CUST-00643,Dormant
CUST-00644,VIP
CUST-00645,Dormant
CUST-00646,At Risk
CUST-00647,Loyal
CUST-00648,At Risk
CUST-00649,New Joiner
CUST-00650,At Risk
CUST-00651,Loyal
CUST-00652,New Joiner
CUST-00653,Dormant
CUST-00654,Loyal
CUST-00655,Loyal
CUST-00656,At Risk
CUST-00657,At Risk
CUST-00658,New Joiner
CUST-00659,New Joiner
CUST-00660,VIP
CUST-00661,At Risk
CUST-00662,Dormant
CUST-00663,New Joiner
CUST-00664,New Joiner
CUST-00665,Loyal
CUST-00666,Loyal
CUST-00667,New Joiner
CUST-00668,At Risk
CUST-00669,New Joiner
CUST-00670,Dormant
CUST-00671,At Risk
CUST-00672,Loyal
CUST-00673,New Joiner
CUST-00674,Loyal
CUST-00675,New Joiner
CUST-00676,Dormant
CUST-00677,At Risk
CUST-00678,VIP
CUST-00679,At Risk
CUST-00680,Dormant
CUST-00681,Dormant
CUST-00682,Loyal
CUST-00683,At Risk
CUST-00684,VIP
CUST-00685,At Risk
CUST-00686,VIP
CUST-00687,Loyal
CUST-00688,Dormant
CUST-00689,Dormant
CUST-00690,Dormant
CUST-00691,Dormant
CUST-00692,Dormant
CUST-00693,New Joiner
CUST-00694,Dormant
CUST-00695,Loyal
CUST-00696,At Risk
CUST-00697,At Risk
CUST-00698,VIP
CUST-00699,Dormant
CUST-00700,Dormant
CUST-00701,Dormant
CUST-00702,New Joiner
CUST-00703,Dormant
CUST-00704,Dormant
CUST-00705,VIP
CUST-00706,Dormant
CUST-00707,Loyal
CUST-00708,Dormant
CUST-00709,At Risk
CUST-00710,At Risk
CUST-00711,VIP
CUST-00712,At Risk
CUST-00713,Loyal
CUST-00714,New Joiner
CUST-00715,Loyal
CUST-00716,Loyal
CUST-00717,At Risk
CUST-00718,New Joiner
CUST-00719,Loyal
CUST-00720,VIP
CUST-00721,VIP
CUST-00722,New Joiner
CUST-00723,New Joiner
CUST-00724,New Joiner
CUST-00725,Dormant
CUST-00726,At Risk
CUST-00727,New Joiner
CUST-00728,Dormant
CUST-00729,Dormant
CUST-00730,Loyal
CUST-00731,At Risk
CUST-00732,Loyal
CUST-00733,Loyal
CUST-00734,Dormant
CUST-00735,VIP
CUST-00736,VIP
CUST-00737,At Risk
CUST-00738,Dormant
CUST-00739,VIP
CUST-00740,New Joiner
CUST-00741,Dormant
CUST-00742,Loyal
CUST-00743,Loyal
CUST-00744,Loyal
CUST-00745,Dormant
CUST-00746,At Risk
CUST-00747,Dormant
CUST-00748,Dormant
CUST-00749,At Risk
CUST-00750,Loyal
CUST-00751,VIP
CUST-00752,Dormant
CUST-00753,Dormant
CUST-00754,New Joiner
CUST-00755,New Joiner
CUST-00756,Loyal
CUST-00757,Dormant
CUST-00758,Loyal
CUST-00759,Dormant
CUST-00760,At Risk
CUST-00761,Loyal
CUST-00762,Loyal
CUST-00763,Dormant
CUST-00764,Loyal
CUST-00765,VIP
CUST-00766,New Joiner
CUST-00767,Loyal
CUST-00768,Loyal
CUST-00769,New Joiner
CUST-00770,Loyal
CUST-00771,New Joiner
CUST-00772,New Joiner
CUST-00773,New Joiner
CUST-00774,New Joiner
CUST-00775,Loyal
CUST-00776,New Joiner
CUST-00777,Loyal
CUST-00778,At Risk
CUST-00779,Dormant
CUST-00780,At Risk
CUST-00781,New Joiner
CUST-00782,New Joiner
CUST-00783,Loyal
CUST-00784,Dormant
CUST-00785,Loyal
CUST-00786,New Joiner
CUST-00787,At Risk
CUST-00788,At Risk
CUST-00789,VIP
CUST-00790,Dormant
CUST-00791,Loyal
CUST-00792,Loyal
CUST-00793,Dormant
CUST-00794,At Risk
CUST-00795,At Risk
CUST-00796,New Joiner
CUST-00797,At Risk
CUST-00798,Dormant
CUST-00799,Loyal
CUST-00800,Loyal
CUST-00801,Loyal
CUST-00802,New Joiner
CUST-00803,Loyal
CUST-00804,At Risk
CUST-00805,Loyal
CUST-00806,Loyal
CUST-00807,Loyal
CUST-00808,VIP
CUST-00809,At Risk
CUST-00810,VIP
CUST-00811,Dormant
CUST-00812,At Risk
CUST-00813,Loyal
CUST-00814,Loyal
CUST-00815,Dormant
CUST-00816,Loyal
CUST-00817,VIP
CUST-00818,VIP
CUST-00819,Loyal
CUST-00820,Loyal
CUST-00821,VIP
CUST-00822,New Joiner
CUST-00823,Loyal
CUST-00824,Dormant
CUST-00825,Dormant
CUST-00826,At Risk
CUST-00827,New Joiner
CUST-00828,VIP
CUST-00829,Loyal
CUST-00830,At Risk
CUST-00831,Loyal
CUST-00832,Loyal
CUST-00833,Loyal
CUST-00834,New Joiner
CUST-00835,Loyal
CUST-00836,VIP
CUST-00837,At Risk
CUST-00838,Dormant
CUST-00839,At Risk
CUST-00840,Dormant
CUST-00841,At Risk
CUST-00842,At Risk
CUST-00843,Dormant
CUST-00844,VIP
CUST-00845,Dormant
CUST-00846,New Joiner
CUST-00847,Dormant
CUST-00848,New Joiner
CUST-00849,New Joiner
CUST-00850,Loyal
CUST-00851,New Joiner
CUST-00852,At Risk
CUST-00853,Dormant
CUST-00854,Dormant
CUST-00855,Loyal
CUST-00856,New Joiner
CUST-00857,At Risk
CUST-00858,At Risk
CUST-00859,At Risk
CUST-00860,Dormant
CUST-00861,New Joiner
CUST-00862,VIP
CUST-00863,Dormant
CUST-00864,Loyal
CUST-00865,Dormant
CUST-00866,At Risk
CUST-00867,Loyal
CUST-00868,New Joiner
CUST-00869,Loyal
CUST-00870,Dormant
CUST-00871,Dormant
CUST-00872,Loyal
CUST-00873,New Joiner
CUST-00874,At Risk
CUST-00875,Dormant
CUST-00876,At Risk
CUST-00877,Dormant
CUST-00878,Loyal
CUST-00879,Dormant
CUST-00880,Loyal
CUST-00881,New Joiner
CUST-00882,VIP
CUST-00883,At Risk
CUST-00884,VIP
CUST-00885,Dormant
CUST-00886,Dormant
CUST-00887,At Risk
CUST-00888,Loyal
CUST-00889,At Risk
CUST-00890,At Risk
CUST-00891,New Joiner
CUST-00892,VIP
CUST-00893,At Risk
CUST-00894,At Risk
CUST-00895,VIP
CUST-00896,At Risk
CUST-00897,New Joiner
CUST-00898,Dormant
CUST-00899,Loyal
CUST-00900,At Risk
CUST-00901,Loyal
CUST-00902,VIP
CUST-00903,At Risk
CUST-00904,Dormant
CUST-00905,Loyal
CUST-00906,Loyal
CUST-00907,Dormant
CUST-00908,Loyal
CUST-00909,VIP
CUST-00910,At Risk
CUST-00911,Dormant
CUST-00912,Loyal
CUST-00913,At Risk
CUST-00914,VIP
CUST-00915,Loyal
CUST-00916,New Joiner
CUST-00917,New Joiner
CUST-00918,Dormant
CUST-00919,Loyal
CUST-00920,Dormant
CUST-00921,Dormant
CUST-00922,Loyal
CUST-00923,Loyal
CUST-00924,At Risk
CUST-00925,Loyal
CUST-00926,Dormant
CUST-00927,Dormant
CUST-00928,VIP
CUST-00929,Loyal
CUST-00930,Loyal
CUST-00931,Dormant
CUST-00932,VIP
CUST-00933,Dormant
CUST-00934,Loyal
CUST-00935,VIP
CUST-00936,New Joiner
CUST-00937,At Risk
CUST-00938,At Risk
CUST-00939,Dormant
CUST-00940,At Risk
CUST-00941,VIP
CUST-00942,Loyal
CUST-00943,Loyal
CUST-00944,Dormant
CUST-00945,New Joiner
CUST-00946,Loyal
CUST-00947,At Risk
CUST-00948,Loyal
CUST-00949,At Risk
CUST-00950,At Risk
CUST-00951,Dormant
CUST-00952,Dormant
CUST-00953,At Risk
CUST-00954,Loyal
CUST-00955,At Risk
CUST-00956,Loyal
CUST-00957,Dormant
CUST-00958,Dormant
CUST-00959,Dormant
CUST-00960,Loyal
CUST-00961,At Risk
CUST-00962,Dormant
CUST-00963,Dormant
CUST-00964,New Joiner
CUST-00965,New Joiner
CUST-00966,Dormant
CUST-00967,Loyal
CUST-00968,Loyal
CUST-00969,VIP
CUST-00970,At Risk
CUST-00971,Loyal
CUST-00972,Loyal
CUST-00973,Dormant
CUST-00974,Dormant
CUST-00975,Dormant
CUST-00976,New Joiner
CUST-00977,VIP
CUST-00978,Loyal
CUST-00979,Dormant
CUST-00980,Dormant
CUST-00981,At Risk
CUST-00982,At Risk
CUST-00983,At Risk
CUST-00984,Dormant
CUST-00985,At Risk
CUST-00986,VIP
CUST-00987,At Risk
CUST-00988,At Risk
CUST-00989,Dormant
CUST-00990,Dormant
CUST-00991,Dormant
CUST-00992,New Joiner
CUST-00993,New Joiner
CUST-00994,At Risk
CUST-00995,Dormant
CUST-00996,Loyal
CUST-00997,Loyal
CUST-00998,Loyal
CUST-00999,Loyal
CUST-01000,Dormant
CUST-01001,Dormant
CUST-01002,Loyal
CUST-01003,Loyal
CUST-01004,VIP
CUST-01005,Loyal
CUST-01006,New Joiner
CUST-01007,Dormant
CUST-01008,New Joiner
CUST-01009,At Risk
CUST-01010,Dormant
CUST-01011,Loyal
CUST-01012,New Joiner
CUST-01013,VIP
CUST-01014,VIP
CUST-01015,Dormant
CUST-01016,VIP
CUST-01017,Loyal
CUST-01018,Dormant
CUST-01019,Loyal
CUST-01020,New Joiner
CUST-01021,Loyal
CUST-01022,Dormant
CUST-01023,Loyal
CUST-01024,Loyal
CUST-01025,New Joiner
CUST-01026,At Risk
CUST-01027,At Risk
CUST-01028,At Risk
CUST-01029,Dormant
CUST-01030,At Risk
CUST-01031,Loyal
CUST-01032,New Joiner
CUST-01033,Dormant
CUST-01034,Dormant
CUST-01035,Dormant
CUST-01036,Loyal
CUST-01037,Loyal
CUST-01038,At Risk
CUST-01039,New Joiner
CUST-01040,Dormant
CUST-01041,VIP
CUST-01042,Dormant
CUST-01043,Loyal
CUST-01044,Dormant
CUST-01045,Dormant
CUST-01046,VIP
CUST-01047,At Risk
CUST-01048,New Joiner
CUST-01049,New Joiner
CUST-01050,Dormant
CUST-01051,VIP
CUST-01052,At Risk
CUST-01053,Loyal
CUST-01054,New Joiner
CUST-01055,New Joiner
CUST-01056,Loyal
CUST-01057,Dormant
CUST-01058,Loyal
CUST-01059,Loyal
CUST-01060,Dormant
CUST-01061,Loyal
CUST-01062,At Risk
CUST-01063,Dormant
CUST-01064,Dormant
CUST-01065,New Joiner
CUST-01066,At Risk
CUST-01067,Dormant
CUST-01068,Loyal
CUST-01069,Loyal
CUST-01070,New Joiner
CUST-01071,Dormant
CUST-01072,New Joiner
CUST-01073,Loyal
CUST-01074,Loyal
CUST-01075,At Risk
CUST-01076,Loyal
CUST-01077,New Joiner
CUST-01078,At Risk
CUST-01079,Loyal
CUST-01080,At Risk
CUST-01081,Dormant
CUST-01082,New Joiner
CUST-01083,Dormant
CUST-01084,Dormant
CUST-01085,At Risk
CUST-01086,Dormant
CUST-01087,At Risk
CUST-01088,Loyal
CUST-01089,Loyal
CUST-01090,At Risk
CUST-01091,At Risk
CUST-01092,Dormant
CUST-01093,Loyal
CUST-01094,Dormant
CUST-01095,New Joiner
CUST-01096,New Joiner
CUST-01097,Loyal
CUST-01098,Loyal
CUST-01099,Loyal
CUST-01100,Loyal
CUST-01101,Loyal
CUST-01102,Loyal
CUST-01103,At Risk
CUST-01104,Dormant
CUST-01105,VIP
CUST-01106,At Risk
CUST-01107,Loyal
CUST-01108,Dormant
CUST-01109,VIP
CUST-01110,At Risk
CUST-01111,At Risk
CUST-01112,Loyal
CUST-01113,Dormant
CUST-01114,Dormant
CUST-01115,Dormant
CUST-01116,At Risk
CUST-01117,New Joiner
CUST-01118,Dormant
CUST-01119,Loyal
CUST-01120,Dormant
CUST-01121,VIP
CUST-01122,At Risk
CUST-01123,VIP
CUST-01124,New Joiner
CUST-01125,Loyal
CUST-01126,Dormant
CUST-01127,At Risk
CUST-01128,At Risk
CUST-01129,New Joiner
CUST-01130,Dormant
CUST-01131,Loyal
CUST-01132,Loyal
CUST-01133,Loyal
CUST-01134,Loyal
CUST-01135,Loyal
CUST-01136,New Joiner
CUST-01137,Loyal
CUST-01138,Dormant
CUST-01139,Dormant
CUST-01140,VIP
CUST-01141,At Risk
CUST-01142,At Risk
CUST-01143,Loyal
CUST-01144,New Joiner
CUST-01145,VIP
CUST-01146,Loyal
CUST-01147,Loyal
CUST-01148,At Risk
CUST-01149,VIP
CUST-01150,Loyal
CUST-01151,Dormant
CUST-01152,Loyal
CUST-01153,Dormant
CUST-01154,Loyal
CUST-01155,Loyal
CUST-01156,Dormant
CUST-01157,Loyal
CUST-01158,Dormant
CUST-01159,Dormant
CUST-01160,Loyal
CUST-01161,Dormant
